JYCSM-WB-076	Bagha Jatin Jatiya Yuva Computer Shaksharta Mission	Moumita Pramanik	4/39 Vidyasagar Colony,Naktala (Near 4 no Vidyasagar Club), Kolkata - 47	South 24 Parganas	West Bengal	All Type Of Computer Courses
JYCSM-WB-077	Jatiya Yuva Computer Shaksharta Mission Khagraghat	Hanif Shaikh	Khagraghat Station Road, P.O-Radharghat, P.S-Berhampore	Murshidabad	West Bengal	All Type Of Computer Courses
JYCSM-JHK-078	Computer Parshikshan Sansthan	Irfan Alam	1st Floor Baijnath Sundri Bhawan, Purulia Road Kanta toli, 834001	Ranchi	Jharkhand	All Type Of Computer Courses
JYCSM-KL-079	Jatiya Yuva Computer Shaksharata Mission,Pattom	John Varghese	TC.1904/2,71K Opposite St.Mays School & Cathedral Near Spring Garden medical Centre,Pattom,695004	Thiruvananthapuram	Kerala	All Type Of Computer Courses
JYCSM-WB-080	Jatiya Yuva Computer Shaksharta Mission Matiari.	Ritwik Dey	Matiari,Pitulitala,741153	Nadia	West Bengal	All Type Of Computer Courses
JYCSM-WB-081	Digiview Computer Institute	Prabhat Saha	Daudpur,Ajmatpur,Tapan,733127	Dakshin Dinajpur	West Bengal	All Type Of Computer Courses
JYCSM-WB-082	Jatiya Yuva Computer Shaksharta Mission Kotulpur	Kartick Roy	Netaji More,Vivakananda Palli,Kotalpur.	Bankura	West Bengal	All Type Of Computer Courses
JYCSM-AS-083	Smart Computer Centre	Sk Shamsul Alom	Jhagrarpar Part II,Jhagrarpar,783325	Dhubri	Assam	All Type Of Computer Courses
JYCSM-WB-084	Rainbow Child Academy.	Bikramaditya Gayen & Sahil Saikh	Kumarhat,743387	South 24 Parganas	West Bengal	All Type Of Computer Courses
JYCSM-WB-085	Jatiya Yuva Computer Shaksharta Mission,Satpalsa	Gopal Chandra Mandal	Satpalsa,Mayureswar, 731234	Birbhum	West Bengal	All Type Of Computer Courses
JYCSM-NL-086	Oxford Academy of Computer Science and Technology	Mr.A.Zinghat Konyak	Tizit Town,Mon,Tizit,798602	Mon	Nagaland	All Type Of Computer Courses
JYCSM-WB-087	Sagar Infotech Computer Center	Sagar Biswas	Gaighata,743249	North 24 Parganas	West Bengal	All Type Of Computer Courses
JYCSM-WB-088	Jatiya Yuva Computer Shaksharta Mission,Dasnagar.	Saikat Mondal	Kashipur,Dasnagar,711105	Howrah	West Bengal	All Type Of Computer Courses
JYCSM-WB-089	Computer Learning Point.	Debkumar Dewan	Beurgram,Irhpala,721222	Paschim Medinipur	West Bengal	All Type Of Computer Courses
JYCSM-AS-090	Minu Cutting & Stitching Training Centre	Arpana Basumatary	Rajapara Ward no 3, Gossaigaon,783360	Kokrajhar	Assam	All Type Of Computer Courses
JYCSM-WB-091	Jatiya Yuva Computer Shaksharata Mission,Iswarpur	Subhadip Metia	Iswarpur,Chandipur,721659	Alipurduar	West Bengal	All Type Of Computer Courses
JYCSM-AS-092	Cyberox Computer	Jitu Barman	Near CanAara Bank,Hathinapur,Bajali,781325	Barpeta	Assam	All Type Of Computer Courses
JYCSM-WB-093	Charkaboni Jatiya Yuva Computer Shaksharta Mission	Sunanda Shit	Charkaboni,Kharagpur,721513	Paschim Medinipur	West Bengal	All Type Of Computer Courses
JYCSM-WB-094	Stimulus Computer Training & Study Centre	Indrajit Bera	Mahishadal,721628	Purba Medinipur	West Bengal	All Type Of Computer Courses
JYCSM-AS-095	Jatiya Yuva Computer Shaksharata Mission,College road Lala	Mahfus Siddique Laskar	College road Lala,788163	Hailakandi	Assam	All Type Of Computer Courses
JYCSM-BR-096	Jatiya Yuva Computer Shaksharata Mission,Thakurganj	Md Mustaquim Alam	Thakurganj,855116	Kishanganj	Bihar	All Type Of Computer Courses
JYCSM-AS-097	Jatiya Yuva Computer Center,Bidya Nagar	Abdul Zalil Talukdar	GP Road,Bidya Nagar.788738.	Karimganj	Assam	All Type Of Computer Courses
JYCSM-WB-098	Jatiya Yuva Computer Shaksharata Mission,Chaitpur	Amit Kumar Das	Chaitpur,742161	Murshidabad	West Bengal	All Type Of Computer Courses
JYCSM-WB-099	N.M.S.Computer Centre & Research Study Centre	Nazir Uddin Mondal	Raigram,Monteswar,713422	Purba Bardhaman	West Bengal	All Type Of Computer Courses
JYCSM-WB-100	Jatiya Yuva Computer Shaksharata Mission,Sherpur	Rajibul Islam Sardar	Sherpur,743513	South 24 Parganas	West Bengal	All Type Of Computer Courses
JYCSM-WB-101	Jatiya Yuva Computer Shaksharta Mission,Kestopur	Barnamoy Chatterjee	AD 369,Rabindrapally,Kestopur,700101	Kolkata	West Bengal	All Type Of Computer Courses
JYCSM-WB-102	Jatiya Yuva Computer Shaksharata Mission,Nimtita	Dulal Sarkar	Near Nimtita Railway Station,Dafahat,Suti-ii,742224	Murshidabad	West Bengal	All Type Of Computer Courses
JYCSM-WB-103	Jatiya Yuva Computer Centre,Durgapur	Jiarul Mallick	Arrah,Kaliganj,Durgapur 12,713212	Paschim Bardhaman	West Bengal	All Type Of Computer Courses
